BTB,metal,h2o,hcooh,MOL/stack
0.000202286,0.00032696,0.443917296,0.230901041,1
0.000347952,0.000366669,0.621996156,0.095391773,1
0.000281123,0.000333282,0.444414585,0.228607844,1
0.000119953,0.000336601,0.354913393,0.251680845,1
0.000241915,0.000393395,0.40113038,0.232509316,1
0.000153602,0.000322495,0.778307564,0.132353825,1
0.00015908,0.000382819,0.087330504,0.148453628,1
0.000457856,0.000711839,0.24139473,0.125890779,1
0.000458677,0.000390711,0.040178898,0.08175524,1
0.000370981,0.000550675,0.11877772,0.096591884,1
0.000190376,0.000281729,0.509729078,0.080265782,1
0.000294834,0.000343568,0.55497002,0.073013634,1
0.000163415,0.000380934,0.074807417,0.11532256,1
0.00024803,0.000466905,0.143259057,0.102303781,1
0.000908643,0.000583194,0.302654171,0.084351615,1
0.000227645,0.000661329,0.220314573,0.087836642,1
0.000695407,0.000466481,0.152832436,0.077770413,1
0.001155434,0.000637081,0.159380942,0.07643358,1
0.000397861,0.000693579,0.198021155,0.07239262,1
0.000738237,0.000676028,0.238366064,0.064786032,1
9.55E-05,0.000242716,0.407612354,0.118709904,1
0.000440599,0.00047668,0.307167556,0.126510249,1
0.000517063,0.000390681,0.619039836,0.086083093,1
0.000456775,0.000543227,0.149089576,0.051362885,1
0.000289728,0.000337018,0.591613268,0.031607036,1
0.000320867,0.000431023,0.062482074,0.051303832,1
0.000153685,0.000310312,0.1503775,0.040110621,1
0.00016038,0.000471074,0.625748506,0.022815184,1
0.000581351,0.00056627,0.058919978,0.033560703,1
0.000384892,0.000601611,0.292438715,0.054909925,1
0.00022056,0.000370615,0.106098858,0.025502142,1
0.000468374,0.000409052,0.058005611,0.025391981,1
0.000198382,0.000481264,0.322001224,0.017257726,1
0.000127452,0.000325527,0.590616825,0.011719388,1
0.000332766,0.000485665,0.067146908,0.019636901,1
0.000220268,0.000443385,0.022406997,0.017674269,1
0.000286944,0.000347803,0.720377747,0.031165659,1
0.000246671,0.000477987,0.300370392,0.052265579,1
0.000324126,0.000806684,0.010387106,0.066634767,1
0.000281259,0.000798817,0.039130869,0.064516193,1
0.000421296,0.000739043,0.246107188,0.051473663,1
0.000266429,0.000370374,0.64244248,0.03014482,1
0.000693659,0.000690122,0.005830323,0.275677581,1
0.000408411,0.000406328,0.171186411,0.405781754,1
0.000103297,0.000210999,0.313169325,0.552605677,1
0.001547673,0.000546782,0.176348468,0.521264692,1
0.000608748,0.000246377,0.10350356,0.440874264,1
0.001853297,0.000649301,0.136636295,0.421513095,1
0.001053999,0.00036014,0.287863008,0.421327615,1
0.001354612,0.000547263,0.189670314,0.410100633,1
0.001073331,0.000690728,0.009007524,0.405675509,1
0.000834769,0.000319998,0.109441782,0.400083787,1
0.001106912,0.000568449,0.217591863,0.38727356,1
0.00013054,0.00031834,0.03305283,0.124773565,1
0.000399293,0.000309523,0.099564927,0.095225054,1
0.000227814,0.00029644,0.183679806,0.118178627,1
0.000130562,0.000291768,0.181685781,0.216785734,1
0.000312968,0.000239822,0.209337266,0.18532707,1
0.000249067,0.000606649,0.149032892,0.195499651,1
0.000359897,0.000284162,0.186807137,0.21690794,1
0.00069109,0.000618592,0.033247448,0.190138671,1
0.000482739,0.00035194,0.1774667,0.194321397,1
0.001134711,0.000450609,0.044618175,0.108294629,1
0.000469975,0.0003115,0.198263231,0.238568186,1
0.001015796,0.000391958,0.081969646,0.18544684,1
0.000984866,0.000377916,0.16453619,0.155158491,1
0.001604282,0.000629812,0.020033827,0.110613259,1
0.001333117,0.00051987,0.095024863,0.144960191,1
0.000710808,0.000419303,0.184021946,0.25631422,1
0.002042765,0.000766,0.079218657,0.010934138,1
0.001784043,0.000801487,0.074806016,0.095980466,1
0.001942096,0.000710204,0.004347099,0.157679325,1
0.001474863,0.000752966,0.136087015,0.165719236,1
0.000149772,0.000210325,0.786384808,0.004337409,1
0.000319432,0.000139303,0.773032543,0.001414957,1
0.00017277,0.000147865,0.782327339,0.087377431,1
0.000274883,0.000177956,0.852285305,0.00282952,1
0.000330591,0.000348372,0.782800324,0.047478349,1
0.000137495,0.000224402,0.834348479,0.0561755,1
0.000194874,0.000206738,0.818738712,0.062567285,1
0.000119153,0.000300664,0.796073426,0.097163232,1
0.000130966,0.000172563,0.882520877,0.046248584,1
9.00E-05,0.000191392,0.82637572,0.112891932,1
0.00014936,0.000114575,0.847640057,0.098282605,1
0.000250708,0.000247118,0.859643275,0.0504491,1
0.000120278,9.13E-05,0.954073303,0.00826357,1
0.000424439,0.000182998,0.808997339,0.08371563,1
0.000235385,0.000230016,0.833160015,0.091360272,1
0.00130506,0.000468891,0.402589853,0.140952375,1
0.000281503,0.000267591,0.46034901,0.117984235,1
0.000489083,0.000294845,0.39866373,0.116228104,1
0.00037692,0.000383139,0.351976076,0.09117499,1
0.000137123,0.000343355,0.393413463,0.086419745,1
0.000496221,0.000315179,0.458070969,0.082928644,1
0.000925065,0.000464249,0.467570756,0.078414766,1
0.000317902,0.000383316,0.357749835,0.071811682,1
0.000739916,0.000416608,0.374788317,0.070665433,1
0.001286784,0.000527178,0.449665614,0.06367465,1
0.001288567,0.000485152,0.339768493,0.053383039,1
0.000184484,0.000248195,0.462314953,0.052054905,1
0.000270134,0.0005355,0.516905295,0.049607006,1
0.000312992,0.000311283,0.461342433,0.046206629,1
0.000549941,0.000623484,0.31361932,0.036832564,1
0.000382113,0.000248937,0.392458714,0.034866589,1
0.001587966,0.000635776,0.411712002,0.033818696,1
0.001547993,0.000560285,0.406584407,0.028730643,1
0.0004805,0.000352163,0.318667783,0.027080199,1
0.000695648,0.000254938,0.467493113,0.026592986,1
0.000315613,0.000548824,0.39034143,0.025583558,1
0.001272143,0.000517298,0.540088895,0.024549686,1
0.000707852,0.000339442,0.526421245,0.015238768,1
0.000514247,0.000286269,0.484034803,0.011784946,1
0.001082586,0.000459843,0.556791389,0.011484961,1
0.000369088,0.000508205,0.369846751,0.009979621,1
0.000765867,0.000401116,0.397178725,0.008809012,1
0.000365069,0.000269741,0.634334332,0.251116041,1
0.000172959,0.000417974,0.592867856,0.130995749,1
0.00099909,0.000465301,0.016806129,0.555811008,1
0.000631414,0.000549513,0.085373523,0.399592086,1
0.000369011,0.0005479,0.15581092,0.541183095,1
0.001089864,0.001015799,0.027145552,0.387937422,1
0.000347543,0.00043527,0.191013062,0.43501462,1
0.000159068,0.000436157,0.047201396,0.373944248,1
0.000162265,0.000393508,0.007739624,0.365955842,1
0.000809804,0.00044389,0.346739923,0.492573126,1
0.000923231,0.000526854,0.203041176,0.483017162,1
0.000826143,0.000504352,0.253892358,0.477583427,1
0.00034992,0.000540328,0.053137657,0.474042814,1
0.000850321,0.000494195,0.132389192,0.432641426,1
0.001236629,0.000576551,0.138871939,0.572193104,1
0.000656596,0.000512907,0.172132524,0.534458997,1
0.000548276,0.000464725,0.312449893,0.530975537,1
